Word/Sentence,Valence,Arousal
wrecker,0.38125,0.575
jail,0.11374999999999999,0.43374999999999997
mask,0.47624999999999995,0.2825
strategy,0.61875,0.39375000000000004
examine,0.57625,0.36875
parakeet,0.70625,0.4375
empathize,0.7625,0.31875
conflicting,0.3125,0.48875
eloquent,0.77,0.45125000000000004
chaplain,0.5125,0.32
treason,0.25625,0.6
mockery,0.24375000000000002,0.43500000000000005
bungee,0.58875,0.66875
diploma,0.665,0.53125
Tamte dziewczyny po drugiej stronie wagonu gapią się na ciebie.,0.54625,0.59375
scarf,0.625,0.17375000000000002
vomit,0.1225,0.47750000000000004
shyster,0.335,0.375
remedial,0.38125,0.3
strings,0.535,0.1975
pot,0.60125,0.375
undying,0.54375,0.46875
hydrogen,0.505,0.35375
nobleman,0.7325,0.375
rift,0.355,0.44625000000000004
dweeb,0.39625,0.3575
gold,0.785,0.66875
bleed,0.18375000000000002,0.5
manual,0.49375,0.27125
fashionable,0.79125,0.38125
stenographer,0.49375,0.35125
sonic,0.54,0.47750000000000004
cabinet,0.5125,0.34375
altimeter,0.4375,0.32625
footlocker,0.50625,0.40625
satanic,0.1175,0.5325
other,0.55125,0.31
poetic,0.72875,0.42500000000000004
untroubled,0.65125,0.2525
dollhouse,0.575,0.31875
military,0.48750000000000004,0.6
central,0.54125,0.3125
shoddy,0.39249999999999996,0.475
presume,0.375,0.3
brunette,0.66875,0.39375000000000004
"Codziennie odwiedzał chorą matkę, karmił ją i czuwał przy jej łóżku całą noc.",0.5775,0.375
insure,0.58375,0.345
machinery,0.45625000000000004,0.36125
contents,0.59875,0.4325
listing,0.58375,0.2375
sync,0.65125,0.36875
geographical,0.65125,0.2725
unethical,0.14875,0.40625
hair,0.6475,0.33875
Przy nikim nie czułam się tak bezpieczna jak przy nim i nikt inny dotychczas mnie tak pięknie nie kochał.,0.755,0.5225
tarot,0.3625,0.37
violin,0.695,0.30125
bloodshot,0.23125,0.46499999999999997
extract,0.51875,0.30625
barmaid,0.48124999999999996,0.44999999999999996
uncover,0.48624999999999996,0.31875
police officer,0.45875,0.56
kazoo,0.595,0.50625
enthusiastic,0.81875,0.6125
ammonia,0.3425,0.25
"Kiedy to widzę złość wzbiera we mnie gwałtownie i sprawia, że nie mogę się pohamować.",0.28625,0.64125
kebab,0.61875,0.33125
melancholy,0.3425,0.39125
clinch,0.48124999999999996,0.375
pin,0.53625,0.34125
conceal,0.36875,0.3425
iniquity,0.40625,0.2975
dream,0.80375,0.42125
toner,0.51375,0.39249999999999996
nunnery,0.40625,0.22249999999999998
carve,0.51125,0.39125
amuse,0.7625,0.52125
tactic,0.5875,0.50625
feline,0.7325,0.3225
"Po to, żeby posiadać oszczędności, musimy zrównoważyć nasz budżet.",0.5625,0.23125
gouge,0.2675,0.46875
unpleasantness,0.19874999999999998,0.42000000000000004
awkwardness,0.3575,0.45625000000000004
map,0.60125,0.36875
second cousin,0.63875,0.38
african,0.6775,0.38875000000000004
anthrax,0.16499999999999998,0.46499999999999997
jeep,0.56625,0.38125
networking,0.575,0.33875
"Gdy po wymęczeniu przychodzi wypoczynek człowiek czuje, że mógłby fruwać!",0.81,0.57875
fleabag,0.3,0.41874999999999996
enchanting,0.725,0.57
Przezwyciężenie trudności daje nam więcej radości niż kiepska wymówka.,0.7225,0.53625
darken,0.43125,0.3575
highway,0.52375,0.41000000000000003
nephew,0.71875,0.41625
infraction,0.3575,0.50625
convey,0.5125,0.35375
farmland,0.6975,0.2675
elementary,0.63875,0.3125
cripple,0.18375000000000002,0.38125
runner,0.585,0.50625
withering,0.3375,0.4225
elevation,0.58375,0.32125
mockingbird,0.67125,0.4525
energy,0.7375,0.65625
meatloaf,0.52,0.4325
headlock,0.325,0.42374999999999996
sarcasm,0.47624999999999995,0.53625
right,0.79,0.5
terrified,0.18874999999999997,0.6375
bath,0.75,0.28125
clot,0.24375000000000002,0.39625
pollen,0.35125,0.305
fringe,0.52,0.43999999999999995
evacuation,0.40375000000000005,0.53
bull,0.36875,0.48750000000000004
stat,0.48250000000000004,0.345
magnet,0.58125,0.2975
flush,0.45875,0.41874999999999996
docile,0.59375,0.18375000000000002
informative,0.6175,0.36125
headless,0.24375000000000002,0.5125
video game,0.6625,0.695
intrusive,0.25625,0.59625
meat,0.7025,0.4125
badge,0.53,0.42500000000000004
stereo,0.7625,0.38
anointed,0.47375,0.29
"Byłem zachwycony, kiedy mama poszła po paczkę książek.",0.60125,0.45499999999999996
boatman,0.5475,0.325
"Przemyt narkotyków to proceder kontrolowany w pełni przez mafię, który złamał życie wielu ludzi.",0.35625,0.48124999999999996
vale,0.54,0.25
gala,0.645,0.45875
trail,0.64375,0.375
armament,0.50625,0.45625000000000004
innermost,0.53125,0.32125
kisser,0.79125,0.60625
cougar,0.58375,0.5875
pudding,0.715,0.35
juke,0.5,0.2875
reefer,0.4275,0.53625
stonewall,0.4475,0.3375
swag,0.54625,0.41625
chilly,0.42625,0.5
conjure,0.50625,0.44625000000000004
ugly,0.18375000000000002,0.42874999999999996
gospel,0.535,0.21250000000000002
aggressor,0.22499999999999998,0.69375
formal,0.54625,0.43500000000000005
seaboard,0.59375,0.30625
coincide,0.53375,0.36
countess,0.60625,0.31875
menace,0.26625,0.48624999999999996
anomaly,0.48,0.40625
wake,0.69625,0.35
editor,0.55375,0.38625
regulation,0.39375000000000004,0.30625
gory,0.19624999999999998,0.5125
divide,0.47250000000000003,0.4525
dopey,0.3575,0.23875000000000002
flair,0.61125,0.41500000000000004
cordless,0.68125,0.38125
escalation,0.47750000000000004,0.48875
beluga,0.5125,0.34625
brainy,0.6575,0.50625
bodily,0.4675,0.33875
womanizer,0.29,0.48250000000000004
diva,0.335,0.44375
petrol,0.43999999999999995,0.38
simultaneous,0.57125,0.31
mustard,0.4675,0.29875
three,0.55375,0.2975
insightful,0.55375,0.40874999999999995
whatnot,0.56,0.19874999999999998
teensy,0.51125,0.34625
bong,0.4075,0.38125
psychoanalyst,0.54375,0.44875
upkeep,0.5175,0.43000000000000005
hotel,0.7,0.44375
grub,0.395,0.43125
bed,0.77,0.25
stench,0.2025,0.44125000000000003
Tomek został zaakceptowany przez kolegów po tym jak poczęstował ich cukierkami.,0.53875,0.39875000000000005
artillery,0.38749999999999996,0.44499999999999995
ballgame,0.75,0.45625000000000004
shoemaker,0.6075,0.21250000000000002
"Fizyczne cierpienie może wywoływać tak potworny ból, że człowiek mdleje. ",0.18375000000000002,0.67625
rustic,0.625,0.43125
smudge,0.41125,0.29
grandma,0.8125,0.275
aware,0.7325,0.4625
burial,0.20625,0.4125
pediatrician,0.74375,0.41125
session,0.5125,0.2975
recognizable,0.665,0.44875
blip,0.43999999999999995,0.42500000000000004
hull,0.50625,0.20875
foreplay,0.675,0.71375
dandy,0.69375,0.375
fallacy,0.375,0.375
brother,0.6475,0.43500000000000005
textbook,0.5,0.2425
juggler,0.6625,0.38125
static,0.42625,0.29125
paradox,0.55,0.5
haven,0.67,0.2375
substance,0.41125,0.3275
stylish,0.585,0.40874999999999995
"Grymas odrazy, który wykrzywia twarz, nie pozwala nam ukryć naszych prawdziwych emocji.",0.32,0.4425
manufacturing,0.5,0.4375
crap,0.305,0.4525
deserve,0.72125,0.4375
rival,0.4475,0.47624999999999995
microphone,0.51375,0.39875000000000005
activist,0.655,0.5325
inhale,0.545,0.42874999999999996
bliss,0.8275,0.39125
Na każdy obiekt znajdujący się na Ziemi działa siła grawitacji.,0.58875,0.22499999999999998
navigational,0.5125,0.375
irritable,0.23125,0.67125
vandalism,0.11249999999999999,0.45875
foam,0.53125,0.2375
diversion,0.5275,0.43500000000000005
ogre,0.32125,0.52375
lateral,0.55375,0.38875000000000004
collie,0.725,0.335
name,0.5775,0.255
mongoose,0.49375,0.31875
shiner,0.48,0.375
relax,0.8525,0.1725
"Mama odmówiła przyjścia do mnie i wzgardliwie odpowiedziała, że mam spać.",0.3275,0.48375
paternity,0.60125,0.36875
oldies,0.56625,0.39749999999999996
breeder,0.46375,0.34875
internal,0.5225,0.33375
mover,0.44375,0.3525
surgeon,0.50625,0.5975
dredge,0.29,0.295
hunting,0.46875,0.33875
goddamned,0.295,0.63125
mind,0.7125,0.50625
hoopla,0.52875,0.52375
winged,0.6125,0.35875
rich,0.72875,0.72625
temperamental,0.3575,0.5875
saber,0.4375,0.43500000000000005
job,0.58,0.375
interstellar,0.61875,0.49375
feed,0.74375,0.44375
